Artist,Album,Track,Song_Length_Sec
"Richard Marlow & The Choir of Trinity College, Cambridge",Mezmerize,Soldier Side - Intro,63
Edo de Waart & San Francisco Symphony,Diver Down,Happy Trails,65
House Of Pain,Riot Act,Arc,65
Les Arts Florissants & William Christie,House of Pain,Salutations,69
Marcos Valle,Afrociberdelia,Interlude Zumbi,71
Seu Jorge,Blood Sugar Sex Magik,They're Red Hot,71
Battlestar Galactica (Classic),Milton Nascimento Ao Vivo,"Maria, Maria",72
Foo Fighters,Roda De Funk,Divirta-Se (Saindo Da Sua),74
Os Cariocas,Into The Light,Into The Light,76
Alberto Turco & Nova Schola Gregoriana,Core,No Memory,80
Edo de Waart & San Francisco Symphony,Diver Down,Cathedral,82
Faith No More,The Colour And The Shape,Doll,83
Jamiroquai,Use Your Illusion II,My World,84
Various Artists,Prenda Minha,"Texto ""Verdade Tropical""",84
Michael Tilson Thomas & San Francisco Symphony,Van Halen III,Primary,86
Baby Consuelo,Bongo Fury,Man With The Woman Head,88
Marcos Valle,Afrociberdelia,Enquanto O Mundo Explode,88
Milton Nascimento & Bebeto,Da Lama Ao Caos,Maracatu De Tiro Certeiro,88
Falamansa,My Way: The Best Of Frank Sinatra [Disc 1],Love And Marriage,89
Guns N' Roses,Faceless,The Awakening,89
"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",Serie Sem Limite (Disc 1),Cristina Nº 2,90
Fernanda Porto,International Superhits,Jaded,90
Habib Koité and Bamada,Santana Live,Rock Me,94
Chico Science & Nação Zumbi,Body Count,D Note,95
Alberto Turco & Nova Schola Gregoriana,Core,Wet My Bed,96
Jackson Browne,Compositores,Time,96
Christina Aguilera featuring BigElf,Ace Of Spades,Bite The Bullet,98
Marcos Valle,Afrociberdelia,O Encontro De Isaac Asimov Com Santos Dumont No Céu,99
Various Artists,Prenda Minha,Prenda Minha,99
Edo de Waart & San Francisco Symphony,Diver Down,Intruder,100
Rodox,Os Cães Ladram Mas A Caravana Não Pára,Seus Amigos,100
Antal Doráti & London Symphony Orchestra,"The Best Of Van Halen, Vol. I",Eruption,102
Choir Of Westminster Abbey & Simon Preston,Van Halen,Eruption,102
Planet Hemp,Surfing with the Alien (Remastered),Midnight,102
